PROTOCOL;A_0,1lx;A_1lx;A_10lx;A_100lx;A_1000lx
;;;;;
Type:;LIGHTSOURCE;LIGHTSOURCE;LIGHTSOURCE;LIGHTSOURCE;LIGHTSOURCE
;;;;;
PeakBand:;780 [nm];780 [nm];780 [nm];780 [nm];780 [nm]
BandMin:;380 [nm];380 [nm];380 [nm];380 [nm];380 [nm]
BandMax:;780 [nm];780 [nm];780 [nm];780 [nm];780 [nm]
Resolution:;1 [nm];1 [nm];1 [nm];1 [nm];1 [nm]
;;;;;
BEGIN_DATA;;;;;
465nm;0.00054687;0.00546871;0.05468713;0.54687130;5.46871305
466nm;0.00055376;0.00553757;0.05537567;0.55375669;5.53756692
467nm;0.00056069;0.00560686;0.05606855;0.56068550;5.60685504
468nm;0.00056766;0.00567658;0.05676577;0.56765774;5.67657739
469nm;0.00057467;0.00574675;0.05746748;0.57467476;5.74674755
470nm;0.00058173;0.00581734;0.05817338;0.58173384;5.81733838
471nm;0.00058883;0.00588835;0.05888350;0.58883499;5.88834988
472nm;0.00059598;0.00595981;0.05959809;0.59598092;5.95980918
473nm;0.00060317;0.00603168;0.06031676;0.60316756;6.03167559
474nm;0.00061040;0.00610398;0.06103976;0.61039762;6.10397623
475nm;0.00061767;0.00617668;0.06176684;0.61766840;6.17668397
476nm;0.00062498;0.00624981;0.06249812;0.62498124;6.24981237
477nm;0.00063234;0.00632336;0.06323361;0.63233615;6.32336145
478nm;0.00063973;0.00639732;0.06397318;0.63973176;6.39731762
479nm;0.00064717;0.00647168;0.06471681;0.64716809;6.47168090
480nm;0.00065465;0.00654645;0.06546451;0.65464513;6.54645127
481nm;0.00066216;0.00662163;0.06621629;0.66216287;6.62162874
482nm;0.00066972;0.00669721;0.06697213;0.66972133;6.69721330
483nm;0.00067732;0.00677319;0.06773191;0.67731914;6.77319140
484nm;0.00068496;0.00684956;0.06849563;0.68495630;6.84956302
485nm;0.00069263;0.00692634;0.06926342;0.69263417;6.92634174
486nm;0.00070035;0.00700350;0.07003500;0.70035004;7.00350042
487nm;0.00070810;0.00708104;0.07081039;0.70810391;7.08103906
488nm;0.00071590;0.00715897;0.07158971;0.71589712;7.15897123
489nm;0.00072373;0.00723728;0.07237283;0.72372834;7.23728335
490nm;0.00073160;0.00731599;0.07315989;0.73159890;7.31598901
491nm;0.00073950;0.00739505;0.07395047;0.73950475;7.39504748
492nm;0.00074745;0.00747450;0.07474499;0.74744995;7.47449948
493nm;0.00075543;0.00755430;0.07554304;0.75543043;7.55430430
494nm;0.00076345;0.00763449;0.07634489;0.76344891;7.63448907
495nm;0.00077150;0.00771504;0.07715040;0.77150402;7.71504024
496nm;0.00077959;0.00779594;0.07795944;0.77959442;7.79594422
497nm;0.00078772;0.00787720;0.07877201;0.78772010;7.87720102
498nm;0.00079588;0.00795882;0.07958824;0.79588242;7.95882421
499nm;0.00080408;0.00804080;0.08040800;0.80408002;8.04080022
500nm;0.00081231;0.00812312;0.08123115;0.81231155;8.12311548
501nm;0.00082058;0.00820578;0.08205784;0.82057836;8.20578356
502nm;0.00082888;0.00828879;0.08288791;0.82887909;8.28879088
503nm;0.00083721;0.00837214;0.08372137;0.83721375;8.37213745
504nm;0.00084558;0.00845581;0.08455810;0.84558097;8.45580971
505nm;0.00085398;0.00853983;0.08539835;0.85398348;8.53983477
506nm;0.00086242;0.00862417;0.08624172;0.86241720;8.62417195
507nm;0.00087088;0.00870885;0.08708848;0.87088484;8.70884838
