PROTOCOL;A_0,1lx;A_1lx;A_10lx;A_100lx;A_1000lx
;;;;;
Type:;LIGHTSOURCE;LIGHTSOURCE;LIGHTSOURCE;LIGHTSOURCE;LIGHTSOURCE
;;;;;
PeakBand:;780 [nm];780 [nm];780 [nm];780 [nm];780 [nm]
BandMin:;380 [nm];380 [nm];380 [nm];380 [nm];380 [nm]
BandMax:;780 [nm];780 [nm];780 [nm];780 [nm];780 [nm]
Resolution:;1 [nm];1 [nm];1 [nm];1 [nm];1 [nm]
;;;;;
BEGIN_DATA;;;;;
758nm;0.00313615;0.03136149;0.31361489;3.13614888;31.36148883
759nm;0.00314299;0.03142988;0.31429881;3.14298813;31.42988132
760nm;0.00314979;0.03149787;0.31497867;3.14978667;31.49786673
761nm;0.00315657;0.03156572;0.31565716;3.15657164;31.56571643
762nm;0.00316332;0.03163316;0.31633159;3.16331590;31.63315903
763nm;0.00317002;0.03170019;0.31700195;3.17001945;31.70019453
764nm;0.00317671;0.03176709;0.31767094;3.17670943;31.76709434
765nm;0.00318336;0.03183359;0.31833587;3.18335870;31.83358705
766nm;0.00318999;0.03189994;0.31899944;3.18999441;31.89994405
767nm;0.00319659;0.03196589;0.31965894;3.19658940;31.96589396
768nm;0.00320314;0.03203144;0.32031437;3.20314368;32.03143677
769nm;0.00320968;0.03209684;0.32096844;3.20968439;32.09684389
770nm;0.00321618;0.03216184;0.32161844;3.21618439;32.16184390
771nm;0.00322266;0.03222657;0.32226573;3.22265725;32.22657251
772nm;0.00322909;0.03229089;0.32290894;3.22908940;32.29089403
773nm;0.00323551;0.03235508;0.32355080;3.23550798;32.35507985
774nm;0.00324189;0.03241886;0.32418859;3.24188586;32.41885857
775nm;0.00324824;0.03248237;0.32482366;3.24823659;32.48236589
776nm;0.00325456;0.03254560;0.32545602;3.25456018;32.54560181
777nm;0.00326084;0.03260843;0.32608431;3.26084306;32.60843063
778nm;0.00326710;0.03267099;0.32670988;3.26709881;32.67098806
779nm;0.00327333;0.03273327;0.32733274;3.27332741;32.73327408
780nm;0.00327952;0.03279515;0.32795153;3.27951530;32.79515301
